episode,max_tile,score,avg_max_log_500,rate_2048_500,rate_4096_500,eps_per_sec
94200,4096,70048,11.690,0.9080,0.6980,46.6
94400,4096,68644,11.698,0.9000,0.6980,46.5
94600,4096,80244,11.668,0.8860,0.6960,46.5
94800,4096,55648,11.664,0.8880,0.6780,46.5
95000,4096,81136,11.632,0.8680,0.6760,46.5
95200,4096,60256,11.626,0.8720,0.6740,46.5
95400,4096,72496,11.654,0.8960,0.6760,46.4
95600,4096,97712,11.678,0.9060,0.6880,46.4
95800,4096,50924,11.702,0.9080,0.7020,46.4
96000,4096,84828,11.688,0.9000,0.7060,46.4
96200,8192,123536,11.708,0.9040,0.7240,46.4
96400,4096,54996,11.720,0.9160,0.7200,46.3
96600,1024,21720,11.782,0.9340,0.7320,46.3
96800,4096,76880,11.770,0.9180,0.7200,46.3
97000,8192,136224,11.774,0.9140,0.7300,46.3
97200,4096,71272,11.734,0.9160,0.7200,46.2
97400,2048,40036,11.704,0.9160,0.7060,46.2
97600,4096,76524,11.710,0.9000,0.7080,46.2
97800,1024,20888,11.716,0.9020,0.7060,46.2
98000,4096,79504,11.700,0.8900,0.7000,46.2
98200,2048,36112,11.690,0.8920,0.6840,46.1
98400,8192,103888,11.658,0.8860,0.6800,46.1
98600,4096,88548,11.644,0.8760,0.6760,46.0
98800,8192,134656,11.714,0.8940,0.6820,46.0
99000,1024,20224,11.682,0.8860,0.6880,46.0
99200,4096,79804,11.680,0.9000,0.6820,46.0
99400,2048,35144,11.640,0.8960,0.6600,45.9
99600,8192,133036,11.768,0.9300,0.7020,45.9
99800,8192,133388,11.792,0.9160,0.7280,45.9
100000,8192,105144,11.770,0.9160,0.7140,45.8
100200,2048,44200,11.730,0.9040,0.6940,45.7
100400,4096,65536,11.798,0.9200,0.7440,45.7
100600,4096,79340,11.820,0.9080,0.7620,45.6
100800,8192,115212,11.792,0.8980,0.7560,45.6
101000,1024,22076,11.740,0.8820,0.7240,45.5
101200,4096,51928,11.726,0.8880,0.7000,45.5
101400,4096,73340,11.650,0.8800,0.6640,45.5
